title,description,image,github,play
Cell - o,An inter IIT winning game,/images/cello.PNG,,https://studiocentauri.itch.io/cello
Quick Draw Chaos,,,,https://studiocentauri.itch.io/quick-draw-chaos
The Abyss,,,,https://studiocentauri.itch.io/the-abyss
Beat Blaster,VR,,,https://studiocentauri.itch.io/beat-blaster
Rumble Run,,,,https://studiocentauri.itch.io/rumble-run
Asteroid Shooter,VR,,,https://studiocentauri.itch.io/asteroid-shooter
Ignition Evade,,,,https://studiocentauri.itch.io/ignition-evade
Lost Affitnity,,,,https://studiocentauri.itch.io/lost-affinity
Glitch,,,,https://studiocentauri.itch.io/glitch
Cannon Cutter,,,,https://studiocentauri.itch.io/canon-cutter
Territorial Attack,,,,https://studiocentauri.itch.io/territorial-attack
Particles,,,,https://crypthicc.itch.io/particles
T69 3000,,,,https://rockstardaddy.itch.io/t69-3000
Rise In Air,,,,https://naman-jain.itch.io/rise-in-air
Flow,,,,https://abhishek-pardhi.itch.io/flowhttpsgithubcomabhishekpardhigamedev-project-2git
Drift Maniac,,,,https://strawhat-deepak.itch.io/drift-maniac
Missles,,,,https://ojasbrid.itch.io/planes
Bouncer 3D,,,,https://abhishek-pardhi.itch.io/bouncer-3d
ZapAlong,,,,https://thetufguy.itch.io/zap1
Jungle Hunt,,,,https://harshkp94.itch.io/jungle-hunt
Space Sheriff,,,,https://aryanmaurya383.itch.io/space-sherrif
Rapid Roll,,,,https://harshkp94.itch.io/rapid-roll
Mystic Dungeon,,,,https://rudranshg.itch.io/mystic-dungeon
Pinball Reloaded,,,,https://rudranshg.itch.io/pinball-reloaded
Escape,,,,https://naman-jain.itch.io/escape
Puzzle Runner,,,,https://ojasbrid.itch.io/puzzle-runner
Death Route To Victory,,,,https://naman-jain.itch.io/death-route-to-victory
Skyfall,,,,https://studiocentauri.itch.io/skyfall
Gravity Bomb,,,,https://studiocentauri.itch.io/gravity-bomb
Squar,,,,https://studiocentauri.itch.io/squar
